provinsi,avg_upah,pdrb,avg_sekolah,jumlah_industri,jumlah_tenaga_kerja,kepadatan_penduduk,ipm
Cilacap,2312.46,67077,7.4,6113,26149,872,72.38
Banyumas,2021.9,40151,7.91,11746,146749,1328,74.52
Purbalingga,2039.43,32147,7.36,2465,9507,1288,70.69
Banjarnegara,2164.18,27640,6.87,2443,30428,924,69.6
Kebumen,1832.2,27288,7.87,3368,1229,1060,71.93
Purworejo,2163.52,31195,8.65,38431,62421,735,75.11
Wonosobo,1931.12,27190,6.9,20336,25697,910,69.82
Magelang,2119.08,32604,7.83,2011,53214,1187,71.99
Boyolali,2491.92,41691,8.17,6181,131729,1003,75.96
Klaten,2124.84,42736,9.29,1195,87832,1851,78.16
Sukoharjo,2822.39,53085,10.01,11223,161501,1908,79.3
Wonogiri,2377.62,37720,7.68,578,37746,553,72.55
Karanganyar,2464.51,53364,9.26,7348,129932,1198,78.11
Sragen,2209.73,52185,7.88,13621,9023,1010,75.53
Grobogan,2428.7,24898,7.29,3391,51808,744,72.02
Blora,2563.6,36599,7.26,2129,6176,464,71.39
Rembang,2520.84,38775,7.73,3401,4009,641,72.53
Pati,2329.47,43051,7.82,7121,97329,872,74.1
Kudus,2349.18,145600,9.35,4914,282323,1974,77.22
Jepara,2325.75,32902,8.27,7216,218969,1208,74.32
Demak,2599.97,28300,8.28,13274,111339,1281,74.57
Semarang,2452.93,60182,8.16,5127,306647,1069,75.67
Temanggung,2409.86,35494,7.53,3047,39543,942,71.87
Kendal,2700.69,55256,7.74,7388,99901,1056,74.34
Batang,2173.07,36256,7.08,3022,45679,978,70.74
Pekalongan,2032.25,29660,7.48,1632,74726,1141,71.84
Pemalang,2148.97,22631,6.56,1539,65982,1355,68.55
Tegal,2364.61,28494,7.36,3102,59533,1702,70.77
Brebes,2196.88,30039,6.41,779,72316,1185,68.46
Kota Magelang,2602.92,96560,11.43,4553,8753,6596,82.15
Kota Surakarta,2454.23,122530,11.25,1091,22245,11302,84.4
Kota Salatiga,2873.92,89826,11.48,1891,43356,3661,85.72
Kota Semarang,3681.07,156570,11.05,5967,277725,4618,85.25
Kota Pekalongan,2165.1,45989,9.34,10323,3433,6950,77.22
Kota Tegal,2114.98,72279,9.28,1904,10076,7316,77.43
