Tahun,kota,avg_upah,pdrb,avg_sekolah,jumlah_industri,jumlah_tenaga_kerja,kepadatan_penduduk,ipm
2016,Cilacap,"1608000,00",58139,6.9,41,13232,797,68.6
2016,Banyumas,"1450953,00",25455,7.39,125,10550,1243,70.49
2016,Purbalingga,"1909000,00",22021,6.86,190,57891,1167,67.48
2016,Banjarnegara,"1500000,00",18974,6.26,44,6772,848,65.52
2016,Kebumen,"1385000,00",18875,7.05,198,8809,927,67.41
2016,Purworejo,"1341000,00",21067,7.66,31,6532,689,70.66
2016,Wonosobo,"1418000,00",19682,6.12,91,5832,793,66.19
2016,Magelang,"1450953,00",20867,7.4,122,16820,1158,67.85
2016,Boyolali,"1909000,00",26572,7.17,115,42252,955,72.18
2016,Klaten,"1500000,00",27183,8.22,257,32599,1774,73.97
2016,Sukoharjo,"1385000,00",33429,8.58,278,70349,1867,75.06
2016,Wonogiri,"1341000,00",24506,6.57,25,10741,522,68.23
2016,Karanganyar,"1418000,00",33764,8.49,218,66000,1119,74.9
2016,Sragen,"1450953,00",33813,6.87,86,21386,932,71.43
2016,Grobogan,"1909000,00",16022,6.62,31,3757,688,68.52
2016,Blora,"1500000,00",23389,6.18,31,3128,477,66.61
2016,Rembang,"1385000,00",23829,6.93,92,7603,615,68.6
2016,Pati,"1341000,00",27382,6.83,277,28677,832,69.03
2016,Kudus,"1418000,00",107061,7.85,235,101508,1979,72.94
2016,Jepara,"1450953,00",19862,7.32,430,37590,1201,70.25
2016,Demak,"1909000,00",18541,7.46,119,37953,1258,70.1
2016,Semarang,"1500000,00",38975,7.48,196,114150,1071,72.4
2016,Temanggung,"1385000,00",23321,6.55,68,19041,865,67.6
2016,Kendal,"1341000,00",35589,6.65,75,25422,948,70.11
2016,Batang,"1418000,00",23048,6.42,103,18045,950,66.38
2016,Pekalongan,"1450953,00",20744,6.56,296,25846,1053,67.71
2016,Pemalang,"1909000,00",15638,6.05,110,8940,1277,64.17
2016,Tegal,"1500000,00",19607,6.54,173,18804,1625,65.84
2016,Brebes,"1385000,00",20934,6.17,72,7240,1079,63.98
2016,Kota Magelang,"1341000,00",57995,10.29,26,2701,6684,77.16
2016,Kota Surakarta,"1418000,00",73460,10.37,141,14658,11678,80.76
2016,Kota Salatiga,"1450953,00",56510,9.82,42,10492,3520,81.14
2016,Kota Semarang,"1909000,00",85045,10.49,647,142373,4627,81.19
2016,Kota Pekalongan,"1500000,00",28432,8.29,144,11145,6655,73.32
2016,Kota Tegal,"1385000,00",48392,8.28,96,7786,7168,73.55
2017,Cilacap,"1693689,00",60715,6.91,38,12569,800,68.9
2017,Banyumas,"1461400,00",27379,7.4,120,16025,1254,70.75
2017,Purbalingga,"1522500,00",23395,6.87,195,62601,1178,67.72
2017,Banjarnegara,"1370000,00",20315,6.27,23,14119,853,65.86
2017,Kebumen,"1433900,00",20192,7.29,208,8568,929,68.29
2017,Purworejo,"1445000,00",22608,7.69,27,7382,691,71.31
