periode_data,wilayah,no_registrasi,kode_barang,alamat,type,lintang,bujur,keterangan
2024,KOTA ADM. JAKARTA PUSAT,JPO210800055,134010210001,"Jl.Jendral Sudirman Depan Dukuh Atas (JPO Halte Busway Dukuh Atas), KOTA ADM. JAKARTA PUSAT",JPO,-6.20556,106.82226,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800058,134010210001,"Jl. Mas Mansyur depan London School, KOTA ADM. JAKARTA PUSAT",JPO,-6.204986,106.816558,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800059,134010210001,"Jl. Asia Afrika  depan Senayan City / Plasa Senayan,KOTA ADM. JAKARTA PUSAT",JPO,-6.224474,106.798247,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800066,134010210001,"Jl. Letjen Soeprapto depan Galur Kelurahan Galur, KOTA ADM. JAKARTA PUSAT",JPO,-6.174528,106.854944,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800067,134010210001,"Jl. Letjen Soeprapto depan Jl. Pangkalan Asem Kel. Cempaka Putih Barat (Halte Busway Rawa Selatan), KOTA ADM. JAKARTA PUSAT",JPO,-6.174053,106.857864,Busway Rawa Selatan
2024,KOTA ADM. JAKARTA PUSAT,JPO210800068,134010210001,"Jl. Letjen Soeprapto depan Pasar Cempaka Putih Kel. Cempaka Putih Barat (Halte Busway Pasar Cempaka Putih), KOTA ADM. JAKARTA PUSAT",JPO,-6.172595,106.862426,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800069,134010210001,"Jl. Letjen Soeprapto dekat Cempaka Tengah Kel. Cempaka Putih Timur (Halte Busway Cempaka Tengah), KOTA ADM. JAKARTA PUSAT",JPO,-6.17051,106.86684,Busway Pal Putih
2024,KOTA ADM. JAKARTA PUSAT,JPO210800070,134010210001,"Jl. Letjen Soeprapto depan Yarsi Kel. Cempaka Putih Timur (Halte Busway Rs Islam), KOTA ADM. JAKARTA PUSAT",JPO,-6.168724,106.870666,Busway Budi Utomo
2024,KOTA ADM. JAKARTA PUSAT,JPO210800071,134010210001,"Jl. Letjen Soeprapto depan Pengadilan Tinggi Kel. Putih Timur,KOTA ADM. JAKARTA PUSAT",JPO,-6.167688,106.87283,Busway Rs Islam
2024,KOTA ADM. JAKARTA PUSAT,JPO210800102,134010210001,"Jl. Salemba Raya Depan Capitol / Carolus, KOTA ADM. JAKARTA PUSAT",JPO,-6.197047,106.851168,Busway Cempaka Tengah (Terdapat di akun aset dalam proses penyelesaian majelis penetapan status aset)
2024,KOTA ADM. JAKARTA PUSAT,JPO210800103,134010210001,"Jl.Kramat Bunder simpang lima senen depan Blok I Pasar Senen, KOTA ADM. JAKARTA PUSAT",JPO,-6.178184,106.842232,JPO Reguler
2024,KOTA ADM. JAKARTA PUSAT,JPO210800104,134010210001,"Jl. Kramat Raya Depan  Kramat Sentiong, KOTA ADM. JAKARTA PUSAT",JPO,-6.188151,106.846072,Busway Ps. Cempaka Putih
2024,KOTA ADM. JAKARTA PUSAT,JPO210800105,134010210001,"Jl. Senen Raya Depan Atrium, KOTA ADM. JAKARTA PUSAT",JPO,-6.176476,106.840168,Busway Atrium
2024,KOTA ADM. JAKARTA PUSAT,JPO210800377,134010210001,"Jl. Jendral Sudirman depan Gelora Bung Karno, KOTA ADM. JAKARTA PUSAT",JPO,-6.22423,106.806,Busway Gelora Bung karno
2024,KOTA ADM. JAKARTA PUSAT,JPO210800163,134010210001,"Jl. Juanda depan Stasiun Juanda, KOTA ADM. JAKARTA PUSAT",JPO,-6.168116,106.830351,Busway Rawa Selatan
2024,KOTA ADM. JAKARTA PUSAT,JPO210800197,134010210001,"LIPI Gatot Subroto, KOTA ADM. JAKARTA PUSAT",JPO,-6.226931,106.817692,Busway Atrium
2024,KOTA ADM. JAKARTA PUSAT,JPO210800198,134010210001,"Semanggi, KOTA ADM. JAKARTA PUSAT",JPO,-6.221539,106.814088,JPO Reguler
