video_id,link,title,published_at_utc,published_date_wib,published_time_wib,channel_id,channel_title,channel_subscribers,view_count,like_count,comment_count,is_short
5VKd5a3j4Lw,https://www.youtube.com/watch?v=5VKd5a3j4Lw,"2 Driver Ojek Online Tewas Dilindas Mobil Brimob, Saat Aksi Demo DPR Hari ini",2025-08-28T16:56:47Z,8/28/2025,23:56:47,UC9OrydCv7MP6ERljaSPvkzA,JURNAL KUHP,5610,538,6,1,FALSE
Nqj1_RRht7I,https://www.youtube.com/watch?v=Nqj1_RRht7I,viral ojol di lindas mobil brimob #shortvideo #fyp #viral #gojek #demodpr #brimob #beritaterkini,2025-08-28T16:55:43Z,8/28/2025,23:55:43,UC2Pe0VX1AlkGAGRflfCogeg,Nirfana agustina Arifin,48,4,1,0,FALSE
mHwZjVZKRRI,https://www.youtube.com/watch?v=mHwZjVZKRRI,Aparat sengaja melindas driver ojol #demo #demohariini #driverojol #grab #gojek #indiver #viral #fyp,2025-08-28T16:52:15Z,8/28/2025,23:52:15,UCCTQUmfEQJ4xyckGzxAhLsg,info padalarang,1640,486,8,0,TRUE
uW4RKYFLAZ8,https://www.youtube.com/watch?v=uW4RKYFLAZ8,waduh gimana ceritanya gojek tertabrak #beritaterkini,2025-08-28T16:50:14Z,8/28/2025,23:50:14,UCTBCkocxIT0TKKq6k4wqWSQ,Pak guru candra,1270,108,1,0,FALSE
nUu6-ONx53M,https://www.youtube.com/watch?v=nUu6-ONx53M,#acab #1312 #allcoparebastard #cops #polisi #polisiindonesia #brimob #oknumpolisi #gojek #shorts,2025-08-28T16:48:57Z,8/28/2025,23:48:57,UCxnUtjH7CmOWe76-Zv162_Q,HSfact. ,28,400,1,0,TRUE
P1yardeBkDs,https://www.youtube.com/watch?v=P1yardeBkDs,Go-Jek di LINDES MOBIL DINAS,2025-08-28T16:44:26Z,8/28/2025,23:44:26,UCt4TwosXtkLFFqXKgTpzVtA,Musisi jalan chanel,43,7,1,0,FALSE
ZwMO0ZEDjzw,https://www.youtube.com/watch?v=ZwMO0ZEDjzw,Part 2 Hari ke 3 Terapi akun gojek #viral #shorts #fyp #ojol #gojek,2025-08-28T16:43:39Z,8/28/2025,23:43:39,UC9ou1N6JjASR4aVfxOFR-gg,DriverSenengSambat,103,856,4,0,FALSE
e7RvFDwPWBI,https://www.youtube.com/watch?v=e7RvFDwPWBI,#demo27agustus #gojek #grab #ojol #fypage? #fypyoutube #masukberanda #viral #viralkannadashort,2025-08-28T16:41:24Z,8/28/2025,23:41:24,UC0lw7KkE8gH_gq9-9157H1A,Gendhis maniss,65,3,1,0,TRUE
VAtIFWRVWEI,https://www.youtube.com/watch?v=VAtIFWRVWEI,demo masa ke dpr gojek di lindas polisii,2025-08-28T16:39:37Z,8/28/2025,23:39:37,UC5k7ei0n32QzF7lltyLe5-g,SKF FOREVER,2960,0,0,0,FALSE
Q3vRQuJCLd4,https://www.youtube.com/watch?v=Q3vRQuJCLd4,edisi ngojek agustus belum gopek belum pulang?? #gojek #gojekdriver #shorts #ojol,2025-08-28T16:39:33Z,8/28/2025,23:39:33,UCahorComDC9yxey44xOM9rQ,Pemburu orderan,2240,901,11,4,TRUE
WKdOJ-KFTgI,https://www.youtube.com/watch?v=WKdOJ-KFTgI,viralll gojek di lindas mobol petugas #tragedi28agustus2025 #viralllllllllll #fyp,2025-08-28T16:31:15Z,8/28/2025,23:31:15,UCMqJWmVSJcBhnNWnLmFmwEQ,HOT NEWS,17,3,1,0,TRUE
TntH_Fd3KK0,https://www.youtube.com/watch?v=TntH_Fd3KK0,Viralkan!!! #trendingberita #fypvidio #viralvidio #Gojek,2025-08-28T16:31:08Z,8/28/2025,23:31:08,UCOsAoQ3S12H0RqIBSxtNYOQ,Nizam Salman20,7,1,0,0,TRUE
zuublWY6Z0I,https://www.youtube.com/watch?v=zuublWY6Z0I,TRAGIS! PENGEMUDI OJOL DILINDAS P0LiZi HINGGA TEWAS SAAT DEMO #facebook #demo #ojol #grab #gojek,2025-08-28T16:30:35Z,8/28/2025,23:30:35,UCVdCyE_IwjQT2ozdjy9HJKA,Benn Bumiayu,51,15,1,0,FALSE
qNsKepHDVQI,https://www.youtube.com/watch?v=qNsKepHDVQI,Rip Affan Kurniawan Mitra Gojek Indonesia #shorts,2025-08-28T16:30:30Z,8/28/2025,23:30:30,UCvGSptr-PwNE0BsHQ39BhUg,Ahonk MV,41700,883,11,2,TRUE
T-RL36Stmbo,https://www.youtube.com/watch?v=T-RL36Stmbo,Tragedi Bromob Lindas GOJEK! #brimob #gojek #dpr,2025-08-28T16:30:24Z,8/28/2025,23:30:24,UCEjpuim3ZMU1bOAGfjALV4A,Kak Army,276,9,1,0,FALSE
7Ze8oLFIQn0,https://www.youtube.com/watch?v=7Ze8oLFIQn0,DEMO DPR RICUH 28 Ags 25. OJOL TERL1ND45!! UN-CENCOR,2025-08-28T16:26:59Z,8/28/2025,23:26:59,UCv6pIolDmJWy6LV9LnAhoOA,Ex Youra,126,293,7,0,TRUE
xDmIDD-fvEY,https://www.youtube.com/watch?v=xDmIDD-fvEY,polisi lindas ojol#ojol #gojek #fyp #beritaterkini,2025-08-28T16:24:00Z,8/28/2025,23:24:00,UCbV3BA8v2yIk0Q8rmDdj__Q,iTs people ,2,1,1,0,TRUE
msTku_BJ60w,https://www.youtube.com/watch?v=msTku_BJ60w,Sungguh tragis kasian bapak gojek nya di lindas ?? #fypviral #gojek #brimob brimob lindas gojek,2025-08-28T16:21:32Z,8/28/2025,23:21:32,UCo5qRz51KoLrQqLYmJgw3FQ,DODE NAKBALI,695,683,8,0,TRUE
QQkJncXVtiA,https://www.youtube.com/watch?v=QQkJncXVtiA,Kata Gojek Ojol Dilindas Mobil Rantis Brimob,2025-08-28T16:19:31Z,8/28/2025,23:19:31,UC-cXH4pw96hIzhHu9uPrMtw,Donat Pasar,25200,51101,144,20,TRUE
WsVl44BLjso,https://www.youtube.com/watch?v=WsVl44BLjso,pendemo dengan seragam gojek terlindas mobil brimob,2025-08-28T16:18:40Z,8/28/2025,23:18:40,UCWUl1j2j8pL0Wjv4hBaoZVA,Satpam Channel,8,19,1,0,TRUE
IeIvxM_f730,https://www.youtube.com/watch?v=IeIvxM_f730,Driver gojek tergilas mobil rantis brimob,2025-08-28T16:14:35Z,8/28/2025,23:14:35,UCkTdwuW6CPpk8wZTNMzxPxA,Landz Project,993,1248,21,1,TRUE
bf6Hb9PCavo,https://www.youtube.com/watch?v=bf6Hb9PCavo,BIADAB SEORANG APARAT POLISI MeLindas GOJEK ??#shorts #gojek #demo2025,2025-08-28T16:14:04Z,8/28/2025,23:14:04,UCa5qhBpmvrIyOakSjJL-W0Q,IBNU BASTRAD2806,1000,6,1,0,TRUE
BpDL-KaQe-Y,https://www.youtube.com/watch?v=BpDL-KaQe-Y,"pengemudi gojek terlindas mobil brimob , (sumber: tiktok pojokbekasi) #demo28agustus #demodpr",2025-08-28T16:11:54Z,8/28/2025,23:11:54,UC7UmF9CD4XXPfh0JVNIC4Rw,senandika ,2290,4,0,0,TRUE
ebDwLgkEqIg,https://www.youtube.com/watch?v=ebDwLgkEqIg,gojek dilindas mobil brimob,2025-08-28T16:11:22Z,8/28/2025,23:11:22,UCzEaPmtgcVQv8HEUqxE913g,Murai Batu Ngawi Indonesia(MBNI),40,6,0,0,TRUE
CWfCInt8eAQ,https://www.youtube.com/watch?v=CWfCInt8eAQ,source:  gojek driver indonesia,2025-08-28T16:07:48Z,8/28/2025,23:07:48,UC9YNpYLZfAbUS74bPVlQGSw,keceng pahay,0,2,1,0,TRUE
FX-bDbQwp8A,https://www.youtube.com/watch?v=FX-bDbQwp8A,One of the many friendly Gojek drivers here in Bali ??,2025-08-28T16:06:49Z,8/28/2025,23:06:49,UCw_ftcQkLSltDkvXqmA45SA,Oliver Witter,49,988,22,0,TRUE
